ts,pa
2020-09-08 04:38:28,100707
2020-09-08 04:39:28,100704
2020-09-08 04:40:28,100701
2020-09-08 04:41:28,100702
2020-09-08 04:42:28,100704
2020-09-08 04:43:29,100704
2020-09-08 04:44:29,100703
2020-09-08 04:45:29,100702
2020-09-08 04:46:29,100701
2020-09-08 04:47:29,100701
2020-09-08 04:48:29,100706
2020-09-08 04:49:29,100707
2020-09-08 04:50:29,100708
2020-09-08 04:51:29,100709
2020-09-08 04:52:29,100712
2020-09-08 04:53:29,100714
2020-09-08 04:54:29,100711
2020-09-08 04:55:29,100710
2020-09-08 04:56:29,100712
2020-09-08 04:57:29,100710
2020-09-08 04:58:29,100714
2020-09-08 04:59:29,100714
2020-09-08 05:00:29,100714
2020-09-08 05:01:29,100718
2020-09-08 05:02:29,100716
2020-09-08 05:03:29,100716
2020-09-08 05:04:29,100711
2020-09-08 05:05:29,100712
2020-09-08 05:06:29,100708
2020-09-08 05:07:29,100707
2020-09-08 05:08:29,100705
2020-09-08 05:09:29,100706
2020-09-08 05:10:29,100708
2020-09-08 05:11:29,100710
2020-09-08 05:12:29,100713
2020-09-08 05:13:29,100715
2020-09-08 05:14:29,100714
2020-09-08 05:15:29,100711
2020-09-08 05:16:29,100707
2020-09-08 05:17:29,100710
2020-09-08 05:18:29,100712
2020-09-08 05:19:29,100713
2020-09-08 05:20:29,100714
2020-09-08 05:21:30,100711
2020-09-08 05:22:30,100712
2020-09-08 05:23:30,100711
2020-09-08 05:24:30,100712
2020-09-08 05:25:30,100715
2020-09-08 05:26:30,100712
2020-09-08 05:27:30,100713
2020-09-08 05:28:30,100711
2020-09-08 05:29:30,100713
2020-09-08 05:30:30,100714
2020-09-08 05:31:30,100711
2020-09-08 05:32:30,100712
2020-09-08 05:33:30,100712
2020-09-08 05:34:30,100709
2020-09-08 05:35:30,100710
2020-09-08 05:36:30,100709
2020-09-08 05:37:30,100710
2020-09-08 05:38:30,100710
2020-09-08 05:39:30,100713
2020-09-08 05:40:30,100716
2020-09-08 05:41:30,100717
2020-09-08 05:42:30,100715
2020-09-08 05:43:30,100717
2020-09-08 05:44:30,100717
2020-09-08 05:45:30,100718
2020-09-08 05:46:30,100719
2020-09-08 05:47:30,100720
2020-09-08 05:48:30,100724
2020-09-08 05:49:30,100721
2020-09-08 05:50:30,100724
2020-09-08 05:51:30,100728
2020-09-08 05:52:30,100728
2020-09-08 05:53:30,100730
2020-09-08 05:54:30,100728
2020-09-08 05:55:30,100728
2020-09-08 05:56:30,100730
2020-09-08 05:57:30,100729
2020-09-08 05:58:30,100731
2020-09-08 05:59:30,100728
2020-09-08 06:00:30,100733
2020-09-08 06:01:30,100730
2020-09-08 06:02:31,100734
2020-09-08 06:03:31,100732
2020-09-08 06:04:31,100733
2020-09-08 06:05:31,100730
2020-09-08 06:06:31,100733
2020-09-08 06:07:31,100730
2020-09-08 06:08:31,100730
2020-09-08 06:09:31,100728
2020-09-08 06:10:31,100729
2020-09-08 06:11:31,100730
